Transaction_Amount,Transaction_Type,Account_Age,Location_Mismatch,Fraud
4153,In-Person,4,No,1
6553,Online,1,No,1
2358,Online,5,No,0
375,In-Person,12,Yes,1
5074,Online,16,Yes,1
5301,Online,15,No,0
6991,In-Person,13,No,0
9990,Online,19,Yes,1
9521,ATM,4,Yes,1
7933,ATM,15,No,0
5002,Online,9,No,1
3595,ATM,17,Yes,0
6985,In-Person,5,No,1
9767,Online,4,Yes,0
1103,In-Person,17,No,1
475,In-Person,18,No,0
102,ATM,6,No,0
4948,In-Person,2,Yes,0
6826,ATM,20,No,1
3544,ATM,19,No,1
503,In-Person,16,No,0
469,ATM,16,Yes,0
3667,Online,17,No,0
5536,Online,16,Yes,0
3679,In-Person,17,Yes,0
4741,Online,2,Yes,0
6826,In-Person,14,No,0
3672,ATM,15,Yes,0
8634,Online,15,No,0
3401,ATM,16,Yes,0
92,Online,6,Yes,0
7634,Online,15,Yes,0
8851,Online,4,Yes,0
8088,Online,16,No,0
5404,In-Person,2,Yes,0
3657,In-Person,18,No,0
2129,In-Person,4,Yes,0
91,In-Person,6,Yes,0
7396,Online,13,No,0
5358,Online,2,No,0
457,ATM,17,Yes,0
97,ATM,6,No,0
7355,ATM,13,Yes,0
431,Online,18,Yes,0
6335,In-Person,13,Yes,0
8579,In-Person,14,No,0
8635,ATM,15,Yes,0
5432,In-Person,14,Yes,0
8555,Online,15,No,0
4767,In-Person,1,No,0
5262,ATM,2,Yes,0
102,In-Person,5,No,0
111,In-Person,5,Yes,0
2152,Online,4,No,0
5526,In-Person,13,No,0
2582,ATM,4,No,0
2421,In-Person,5,Yes,0
9263,ATM,4,Yes,0
2465,Online,4,Yes,0
9836,In-Person,3,No,0
10149,ATM,4,Yes,0
390,ATM,12,Yes,1
1145,Online,16,Yes,1
4298,Online,4,No,1
6495,Online,20,Yes,1
1106,In-Person,16,Yes,1
10790,In-Person,19,No,1
390,Online,12,Yes,1
4270,Online,3,Yes,1
5155,In-Person,15,No,1
993,Online,15,Yes,1
9422,In-Person,4,Yes,1
4147,ATM,3,No,1
3993,ATM,4,No,1
9073,Online,3,Yes,1
404,Online,12,No,1
4216,In-Person,3,Yes,1
380,In-Person,12,Yes,1
10756,In-Person,19,Yes,1
4196,In-Person,4,Yes,1
9372,ATM,18,Yes,1
6627,Online,1,No,1
6384,ATM,4,Yes,1
4641,Online,9,Yes,1
4442,Online,3,Yes,1
4795,ATM,9,Yes,1
1127,ATM,15,No,1
5376,Online,16,Yes,1
362,Online,11,Yes,1
5174,Online,8,No,1
9693,Online,3,Yes,1
9591,In-Person,3,Yes,1
9904,Online,20,No,1
385,In-Person,12,Yes,1
6584,ATM,21,No,1
6250,In-Person,18,Yes,1
4930,In-Person,9,Yes,1
6356,Online,19,Yes,1
1138,In-Person,16,No,1
10213,Online,18,Yes,1
