Employment_Status,Income,Credit_History,Debt_to_Income_Ratio,Credit_Worthy
Self-Employed,95697,Bad,0.49,1
Unemployed,87342,Bad,0.67,1
Employed,49105,Good,0.51,0
Unemployed,84300,Good,0.37,0
Self-Employed,98709,Bad,0.62,0
Employed,57350,Bad,0.28,0
Employed,75365,Good,0.14,1
Employed,89436,Bad,0.28,0
Employed,70740,Bad,0.18,0
Self-Employed,70247,Good,0.43,0
Unemployed,79292,Good,0.47,0
Employed,86240,Bad,0.16,1
Unemployed,21731,Good,0.42,0
Self-Employed,94386,Bad,0.5,0
Unemployed,39899,Good,0.66,1
Self-Employed,89243,Bad,0.2,0
Unemployed,89030,Good,0.59,0
Self-Employed,41210,Good,0.49,1
Unemployed,22049,Good,0.36,1
Self-Employed,66974,Good,0.5,1
